"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"1",50495,"Berta Hrub","F",34,164,58,"Czechoslovakia","TCH","1980 Summer",1980,"Summer","Moskva","Hockey","Hockey Women's Hockey","Silver"
"2",126866,"Joaquim Vital","M",27,NA,NA,"Portugal","POR","1912 Summer",1912,"Summer","Stockholm","Wrestling","Wrestling Men's Middleweight A, Greco-Roman",NA
"3",6391,"Madelon Baans","F",18,168,62,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 4 x 100 metres Medley Relay",NA
"4",17926,"Achille Canna","M",19,190,76,"Italy","ITA","1952 Summer",1952,"Summer","Helsinki","Basketball","Basketball Men's Basketball",NA
"5",16816,"Antje Buschschulte (-Meeuw)","F",17,186,75,"Germany","GER","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Women's 4 x 100 metres Medley Relay",NA
"6",42601,"Ludwig Gredler","M",26,181,79,"Austria","AUT","1994 Winter",1994,"Winter","Lillehammer","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"7",562,"Pawe Abratkiewicz","M",31,183,84,"Poland","POL","2002 Winter",2002,"Winter","Salt Lake City","Speed Skating","Speed Skating Men's 500 metres",NA
"8",53676,"Jerzy Zdzisaw Janikowski","M",24,177,74,"Poland","POL","1976 Summer",1976,"Summer","Montreal","Fencing","Fencing Men's epee, Team",NA
"9",118505,"Giuseppe ""Peppino"" Tanti","M",34,161,60,"Italy","ITA","1976 Summer",1976,"Summer","Montreal","Weightlifting","Weightlifting Men's Featherweight",NA
"10",45271,"Carl-Jan Gustaf David Hamilton","M",36,NA,NA,"Sweden","SWE","1952 Summer",1952,"Summer","Helsinki","Equestrianism","Equestrianism Men's Jumping, Team",NA
"11",84151,"Bla Nagy","M",36,180,80,"Hungary","HUN","1980 Summer",1980,"Summer","Moskva","Archery","Archery Men's Individual",NA
"12",126908,"Vincent Vittoz","M",30,180,72,"France","FRA","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",NA
"13",98072,"Joyce May Racek (-Markley, -Budrunas)","F",18,160,61,"United States","USA","1956 Summer",1956,"Summer","Melbourne","Gymnastics","Gymnastics Women's Balance Beam",NA
"14",57848,"Seiichiro Kashio","M",28,NA,NA,"Japan","JPN","1920 Summer",1920,"Summer","Antwerpen","Tennis","Tennis Men's Singles",NA
"15",116653,"Surzer","M",NA,NA,NA,"France","FRA","1900 Summer",1900,"Summer","Paris","Fencing","Fencing Men's epee, Masters, Individual",NA
"16",57294,"Dimitrios Kantzias","M",NA,NA,NA,"Greece","GRE","1906 Summer",1906,"Summer","Athina","Athletics","Athletics Men's Marathon",NA
"17",59901,"Kim Gwang-Suk","F",16,NA,NA,"North Korea","PRK","1992 Summer",1992,"Summer","Barcelona","Gymnastics","Gymnastics Women's Horse Vault",NA
"18",65635,"Joshua Noel ""Josh"" Laban","M",21,190,80,"United States Virgin Islands","ISV","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 50 metres Freestyle",NA
"19",126356,"Alejandro Vidal Arellano","M",NA,NA,NA,"Chile","CHI","1928 Summer",1928,"Summer","Amsterdam","Cycling","Cycling Men's Team Pursuit, 4,000 metres",NA
"20",67018,"Mariusz Latkowski","M",23,180,92,"Poland","POL","2006 Winter",2006,"Winter","Torino","Bobsleigh","Bobsleigh Men's Four",NA
"21",103392,"Emma Ruz Velsquez","F",26,157,54,"Mexico","MEX","1948 Summer",1948,"Summer","London","Fencing","Fencing Women's Foil, Individual",NA
"22",118458,"Satoru Tanigawa","M",32,183,74,"Japan","JPN","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's 110 metres Hurdles",NA
"23",5350,"Elena Artamendi Garca","F",21,NA,NA,"Spain","ESP","1960 Summer",1960,"Summer","Roma","Gymnastics","Gymnastics Women's Balance Beam",NA
"24",125417,"Nadezhda Vasileva","F",30,165,60,"Bulgaria","BUL","1968 Winter",1968,"Winter","Grenoble","Cross Country Skiing","Cross Country Skiing Women's 3 x 5 kilometres Relay",NA
"25",93204,"Michael Estavo Pereira","M",NA,NA,NA,"Kenya","KEN","1956 Summer",1956,"Summer","Melbourne","Hockey","Hockey Men's Hockey",NA
